A,B,C,D,E,F
20,112.26,24,42.23,17.659,9.38942
11,58.02,6,6.42,10.1976,31.3849
0,-7.87,24,42.43,4.96273,0.609346
7,34.11,35,64.46,58.3893,67.1691
1,-1.88,7,8.36,-35.2671,-48.541
33,190.18,0,-5.94,-34.2321,-73.4109
33,190.48,5,4.28,67.7412,5.92659
0,-7.55,7,8.22,4.66288,3.77592
19,106.3,18,30.44,-11.7368,-22.0737
11,58.53,15,24.47,17.3553,20.6832
9,46.5,28,50.38,-34.9053,-46.3208
1,-1.96,39,72.15,-22.3267,-77.8622
9,46.56,39,72.45,-59.7492,-22.9355
32,184.45,19,32.39,73.622,14.3107
2,4.35,34,62.54,0,0
24,136.19,35,64.3,59.7052,57.6566
21,118.54,17,28.29,-32.9109,-30.6899
3,10.33,7,8.39,78.4208,30.1029
20,112.25,4,2.49,25.6245,57.5533
38,220.42,29,52.5,35.9465,73.7011
35,202.35,31,56.19,-5.78509,-6.8944
11,58.41,32,58.37,-23.0189,-22.2291
8,40.48,16,26.05,5.34604,2.72394
4,16.23,33,60.45,84.0024,50.4737
11,58.06,1,-3.63,-24.426,-29.1097
1,-1.94,13,20.1,2.59808,1.5
0,-7.49,1,-3.99,47.3762,47.3761
15,82.52,21,36.48,1.40842,2.64884
16,88.04,6,6.06,3.39367,6.12233
5,22.35,25,44.35,-13.1512,-26.9638
13,70.49,8,10.43,-46.4131,-68.8101
3,10.26,18,30.22,-17.3553,-20.6832
35,202.05,32,58.45,-66.7506,-12.975
8,40.05,35,64.11,28.5594,5.03579
10,52.03,13,20.25,-94.2362,-18.3176
27,154.34,28,50.53,17.0923,15.39
19,106.56,6,6.46,-15.9124,-1.67245
6,28.28,31,56.16,37.0861,91.7912
15,82.04,23,40.47,-32.0539,-34.3736
25,142.53,38,70.08,-14.2561,-7.26384
27,154.2,11,16.04,-0.469472,-0.882947
36,208.08,6,5.99,22.9431,32.7661
33,190.56,1,-3.87,36.3396,11.1101
0,-7.5,32,58.12,-56.2917,-32.5
0,-7.9,13,20.35,14.1069,19.4164
33,190,33,60.53,1.31212,1.50942
3,10.15,35,64.26,-28.8871,-38.3345
11,58.14,27,48.01,-29.7558,-81.7532
37,214.42,30,54.46,-77.7998,-13.7182
26,148.18,30,54.37,10.0926,29.3111
9,46.13,1,-3.89,12.8735,1.80925
39,226.45,33,60.51,16.9145,6.15636
34,196.38,2,-1.9,15.6472,20.7645
10,52.4,13,19.97,11.7795,2.28971
18,100.07,39,72.45,-80.8915,-39.4534
35,202.29,39,72.13,-61.6696,-70.9427
12,64.42,13,20.42,-60.0405,-31.924
3,10.55,4,2.54,4.68878,11.0461
5,22.11,5,4.08,4.13458,14.4189
37,214.22,0,-5.86,-52.5968,-16.0804
0,-7.71,6,6.08,0.669131,0.743144
16,88.3,10,14.18,-15.4512,-25.715
24,136.5,13,20.17,2.54415,1.58976
23,130.25,31,55.97,8.62583,16.9291
2,4.06,23,40.11,-58.9859,-56.9619
36,208.55,13,20.4,-51.6026,-28.6037
8,40.54,27,48.35,16.3135,7.60712
13,70.11,3,0.55,54.7509,67.6117
15,82.39,7,8.35,-1.75424,-5.73783
17,94.33,19,32.09,29.3444,6.23735
13,70.56,7,8.44,-12.9481,-12.5038
21,118.19,26,46.38,66.7572,26.9717
11,58.34,23,40.03,53.1259,14.235
25,142.39,4,2.09,5.78841,20.1865
22,124.35,35,64.39,21.9406,20.4599
39,226.01,37,68.44,57.4402,41.7327
16,88.41,33,60.31,38.1622,23.8464
3,10.53,15,24.44,-15.1471,-7.71783
29,166.25,5,4.23,-75.4307,-45.3233
5,22.51,16,26.29,-58.9123,-25.0068
30,172.45,2,-1.64,30.211,36.0041
10,52.32,22,38.12,41.783,78.5823
